year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
1996;Rolf M.;Zinkernagel;M;1944;;Switzerland;za objasnenie mechanizmu, akým sú molekuly hlavného histokompatibilitného komplexu (MHC) využívané leukocytmi na detekciu a zabíjanie buniek infikovaných vírusmi;for their discoveries concerning the specificity of the cell mediated immune defence
1997;Stanley B.;Prusiner;M;1942;;United States;za objav priónov, infekčných proteínových častíc;for his discovery of Prions - a new biological principle of infection
1998;Robert F.;Furchgott;M;1916;2009;United States;za objav signalizačných vlastností oxidu dusnatého;for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
1998;Louis J.;Ignarro;M;1941;;United States;za objav signalizačných vlastností oxidu dusnatého;for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
1998;Ferid;Murad;M;1936;2023;United States;za objav signalizačných vlastností oxidu dusnatého;for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
1999;Günter;Blobel;M;1936;2018;United States;za objav, že novosyntetizované proteíny obsahujú nálepky s adresou (address tags), ktoré ich usmernia v rámci bunky na správne miesto;for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell
2000;Arvid;Carlsson;M;1923;2018;Sweden;za dôkaz, že dopamín je neurotransmiter v mozgu, ktorého vyčerpanie vedie k Parkinsonovej chorobe;for their discoveries concerning signal transduction in the nervous system
2000;Paul;Greengard;M;1925;2019;United States;za odhalenie mechanizmu, akým pôsobia neurotransmitery na bunky a dokážu aktivovať ústrednú molekulu známu ako DARPP-32;for their discoveries concerning signal transduction in the nervous system
2000;Eric R.;Kandel;M;1929;;United States;za popísanie mechanizmov, akými sa sa tvorí krátkodobá a dlhodobá pamäť na molekulárnej úrovni;for their discoveries concerning signal transduction in the nervous system
2001;Leland H.;Hartwell;M;1939;;United States;za objav cyklínu a cyklín-dependentnej kinázy, ústredných molekúl v regulácii bunkového cyklu;for their discoveries of key regulators of the cell cycle
2001;Sir Timothy;Hunt;M;1943;;United Kingdom;za objav cyklínu a cyklín-dependentnej kinázy, ústredných molekúl v regulácii bunkového cyklu;for their discoveries of key regulators of the cell cycle
2001;Sir Paul M.;Nurse;M;1949;;United Kingdom;za objav cyklínu a cyklín-dependentnej kinázy, ústredných molekúl v regulácii bunkového cyklu;for their discoveries of key regulators of the cell cycle
2002;Sydney;Brenner;M;1927;2019;South Africa;za zistenie presného sledu, v ktorom sa delia a umierajú bunky červa Caenorhabditis elegans a za objasnenie procesu programovanej smrti buniek alebo apoptózy;for their discoveries concerning 'genetic regulation of organ development and programmed cell death'
2002;H. Robert;Horvitz;M;1947;;United States;za zistenie presného sledu, v ktorom sa delia a umierajú bunky červa Caenorhabditis elegans a za objasnenie procesu programovanej smrti buniek alebo apoptózy;for their discoveries concerning 'genetic regulation of organ development and programmed cell death'
2002;Sir John E.;Sulston;M;1942;2018;United Kingdom;za zistenie presného sledu, v ktorom sa delia a umierajú bunky červa Caenorhabditis elegans a za objasnenie procesu programovanej smrti buniek alebo apoptózy;for their discoveries concerning 'genetic regulation of organ development and programmed cell death'
2003;Paul;Lauterbur;M;1929;2007;United States;za výskum v oblasti zobrazovania za pomoci magnetickej rezonancie;for their discoveries concerning magnetic resonance imaging
2003;Sir Peter;Mansfield;M;1933;2017;United Kingdom;za výskum v oblasti zobrazovania za pomoci magnetickej rezonancie;for their discoveries concerning magnetic resonance imaging
2004;Richard;Axel;M;1946;;United States;za objav čuchových receptorov a organizácie čuchového ústrojenstva;for their discoveries of odorant receptors and the organization of the olfactory system
2004;Linda B.;Buck;F;1947;;United States;za objav čuchových receptorov a organizácie čuchového ústrojenstva;for their discoveries of odorant receptors and the organization of the olfactory system
2005;Barry J.;Marshall;M;1951;;Australia;za objav baktérie Helicobacter pylori a jej úlohy v rozvoji zápalu žalúdka a peptického vredu;for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease
2005;J. Robin;Warren;M;1937;;Australia;za objav baktérie Helicobacter pylori a jej úlohy v rozvoji zápalu žalúdka a peptického vredu;for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease
2006;Andrew Z.;Fire;M;1959;;United States;za objav RNA interferencie - procesu, ktorým je regulovaná transkripcia a vnútrobunková expresia génov;for their discovery of RNA interference - gene silencing by double-stranded RNA
2006;Craig C.;Mello;M;1960;;United States;za objav RNA interferencie - procesu, ktorým je regulovaná transkripcia a vnútrobunková expresia génov;for their discovery of RNA interference - gene silencing by double-stranded RNA
2007;Mario R.;Capecchi;M;1937;;United States;za objavy vedúce k začatiu špecifických génových modifikácií u myší použitím embryonálnych kmeňových buniek;for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells.
2007;Sir Martin J.;Evans;M;1941;;United Kingdom;za objavy vedúce k začatiu špecifických génových modifikácií u myší použitím embryonálnych kmeňových buniek;for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells.
2007;Oliver;Smithies;M;1925;2017;United States;za objavy vedúce k začatiu špecifických génových modifikácií u myší použitím embryonálnych kmeňových buniek;for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells.
2008;Harald ;zur Hausen;M;1936;2023;Germany;za objav ľudských papilovírusov, ktoré spôsobujú rakovinu krčka maternice;for his discovery of human papilloma viruses causing cervical cancer
2008;Françoise;Barré-Sinoussi;F;1947;;France;za izoláciu vírusu spôsobujúceho AIDS;for their discovery of human immunodeficiency virus
2008;Luc;Montagnier;M;1932;2022;France;za izoláciu vírusu spôsobujúceho AIDS;for their discovery of human immunodeficiency virus
2009;Elizabeth H.;Blackburn;F;1948;;United States;za objav, ako sú chromozómy chránené enzýmom telomeráza;for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
2009;Carol W.;Greider;F;1961;;United States;za objav, ako sú chromozómy chránené enzýmom telomeráza;for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
2009;Jack W.;Szostak;M;1952;;United States;za objav, ako sú chromozómy chránené enzýmom telomeráza;for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
2010;Sir Robert G.;Edwards;M;1925;2013;United Kingdom;za vyvinutie a zdokonalenie metódy oplodnenia in vitro;for the development of in vitro fertilization
2011;Bruce A.;Beutler;M;1957;;United States;za objav, ktorý sa týka aktivácie vrodenej imunity;for their discoveries concerning the activation of innate immunity
2011;Jules A.;Hoffmann;M;1941;;France;za objav, ktorý sa týka aktivácie vrodenej imunity;for their discoveries concerning the activation of innate immunity
2011;Ralph M. ;Steinman;M;1943;2011;Canada;za objav dendritových buniek a ich úlohy v získanej imunite;for his discovery of the dendritic cell and its role in adaptive immunity (awarded posthumously)[110][111]
2012;Sir John B.;Gurdon;M;1933;;United Kingdom;za objav možnosti preprogramovania zrelých buniek na bunky kmeňové;for the discovery that mature cells can be reprogrammed to become pluripotent
