year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
1981;Kenichi;Fukui;M;1918;1998;Japan;za ich teórie teórie v oblasti priebehu chemických reakcií;for their theories, developed independently, concerning the course of chemical reactions
1981;Roald;Hoffmann;M;1937;;United States,Poland;za ich teórie teórie v oblasti priebehu chemických reakcií;for their theories, developed independently, concerning the course of chemical reactions
1982;Aaron;Klug;M;1926;2018;United Kingdom;za jeho rozvoj kryštalografického elektrónového mikroskopu;for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes
1983;Henry;Taube;M;1915;2005;United States;za jeho prácu na mechanizme reakcií s presunom elektrónov;for his work on the mechanisms of electron transfer reactions, especially in metal complexes
1984;Robert Bruce ;Merrifield;M;1921;2006;United States;za jeho rozvoj metodológie chemickej syntézy na pevných matrixoch;for his development of methodology for chemical synthesis on a solid matrix
1985;Herbert Aaron ;Hauptman;M;1917;2011;United States;za ich úspechy vo vývoji priamych metód určovania kryštálových štruktúr;for their outstanding achievements in developing direct methods for the determination of crystal structures
1985;Jerome ;Karle;M;1918;2013;United States;za ich úspechy vo vývoji priamych metód určovania kryštálových štruktúr;for their outstanding achievements in developing direct methods for the determination of crystal structures
1986;Dudley Robert ;Herschbach;M;1932;;United States;za ich príspevky v oblasti dynamiky elementárnych chemických procesov;for their contributions concerning the dynamics of chemical elementary processes
1986;Yuan Tseh ;Lee;M;1936;;United States,Republic of China;za ich príspevky v oblasti dynamiky elementárnych chemických procesov;for their contributions concerning the dynamics of chemical elementary processes
1986;John Charles ;Polanyi;M;1929;;Canada,Hungary;za ich príspevky v oblasti dynamiky elementárnych chemických procesov;for their contributions concerning the dynamics of chemical elementary processes
1987;Donald James ;Cram;M;1919;2001;United States;za ich vývoj a použitie molekúl so štruktúrovo-špecifickými interakciami vysokej selektivity;for their development and use of molecules with structure-specific interactions of high selectivity
1987;Jean-Marie ;Lehn;M;1939;;France;za ich vývoj a použitie molekúl so štruktúrovo-špecifickými interakciami vysokej selektivity;for their development and use of molecules with structure-specific interactions of high selectivity
1987;Charles John ;Pedersen;M;1904;1989;United States;za ich vývoj a použitie molekúl so štruktúrovo-špecifickými interakciami vysokej selektivity;for their development and use of molecules with structure-specific interactions of high selectivity
1988;Johann;Deisenhofer;M;1943;;West Germany;za ich práce o trojrozmernej štruktúre centier fotosyntézy;for their determination of the three-dimensional structure of a photosynthetic reaction centre
1988;Robert;Huber;M;1937;;West Germany;za ich práce o trojrozmernej štruktúre centier fotosyntézy;for their determination of the three-dimensional structure of a photosynthetic reaction centre
1988;Hartmut;Michel;M;1948;;West Germany;za ich práce o trojrozmernej štruktúre centier fotosyntézy;for their determination of the three-dimensional structure of a photosynthetic reaction centre
1989;Sidney;Altman;M;1939;2022;Canada,United States;za ich objav katalytických vlastností RNA;for their discovery of catalytic properties of RNA
1989;Thomas Robert ;Cech;M;1947;;United States;za ich objav katalytických vlastností RNA;for their discovery of catalytic properties of RNA
1990;Elias James ;Corey;M;1928;;United States;za jeho rozvoj teórie a metodológie organickej syntézy;for his development of the theory and methodology of organic synthesis
1991;Richard Robert ;Ernst;M;1933;2021;Switzerland;za jeho príspevky k rozvoju magnetickej nukleárnej rezonancie s vysokým rozlíšením;for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy
1992;Rudolph Arthur ;Marcus;M;1923;;United States,Canada;za jeho príspevky k teórii reakcií s presunom elektrónov v chemických systémoch;for his contributions to the theory of electron transfer reactions in chemical systems
1993;Kary Banks ;Mullis;M;1944;2019;United States;za príspevky k rozvoju metód v chémii DNA;for contributions to the developments of methods within DNA-based chemistry  for his invention of the polymerase chain reaction (PCR) method
1993;Michael ;Smith;M;1932;2000;Canada;za príspevky k rozvoju metód v chémii DNA;for contributions to the developments of methods within DNA-based chemistry  for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies
1994;George Andrew ;Olah;M;1927;2017;United States,Hungary;za jeho príspevok k chémii karbokatiónov;for his contribution to carbocation chemistry
1995;Paul Josef ;Crutzen;M;1933;2021;Netherlands;za ich prácu na chémii atmosféry, hlavne na spotrebe ozónu;for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone
1995;Mario J. ;Molina;M;1943;2020;Mexico;za ich prácu na chémii atmosféry, hlavne na spotrebe ozónu;for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone
1995;Frank Sherwood ;Rowland;M;1927;2012;United States;za ich prácu na chémii atmosféry, hlavne na spotrebe ozónu;for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone
1996;Robert F.;Curl;M;1933;2022;United States;za ich objavy fulerénov;for their discovery of fullerenes
1996;Sir Harold W.;Kroto;M;1939;2016;United Kingdom;za ich objavy fulerénov;for their discovery of fullerenes
1996;Richard E.;Smalley;M;1943;2005;United States;za ich objavy fulerénov;for their discovery of fullerenes
1997;Paul Delos ;Boyer;M;1918;2018;United States;za ich objasnenie enzymatického mechanizmu v syntéze adenozíntrifosfátu (ATP);for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
1997;John Ernest ;Walker;M;1941;;United Kingdom;za ich objasnenie enzymatického mechanizmu v syntéze adenozíntrifosfátu (ATP);for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
1997;Jens Christian ;Skou;M;1918;2018;Denmark;za ich objav enzýmu na prenos iónov – Na+/K+-ATPázy;for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase
1998;Walter ;Kohn;M;1923;2016;United States;za jeho rozvoj funkcionálnej teórie hustoty;for his development of the density-functional theory
1998;Sir John Anthony ;Pople;M;1925;2004;United Kingdom;za jeho rozvoj výpočtových metód v kvantovej chémii;for his development of computational methods in quantum chemistry
1999;Ahmed Hassan ;Zewail;M;1946;2016;United States,Egypt;za jeho štúdium prechodových stavov chemických reakcií použitím femtosekundovej spektroskopie;for his studies of the transition states of chemical reactions using femtosecond spectroscopy
2000;Alan Jay ;Heeger;M;1936;;United States;za ich objav a rozvoj vodivých polymérov;for their discovery and development of conductive polymers
2000;Alan G.;MacDiarmid;M;1927;2007;United States,New Zealand;za ich objav a rozvoj vodivých polymérov;for their discovery and development of conductive polymers
2000;Hideki ;Shirakawa;M;1936;;Japan;za ich objav a rozvoj vodivých polymérov;for their discovery and development of conductive polymers
2001;William Standish ;Knowles;M;1917;2012;United States;za ich prácu na chirálne katalyzovaných hydrogenačných reakciách;for their work on chirally catalysed hydrogenation reactions
2001;Ryōji;Noyori;M;1938;;Japan;za ich prácu na chirálne katalyzovaných hydrogenačných reakciách;for their work on chirally catalysed hydrogenation reactions
2001;Karl Barry ;Sharpless;M;1941;;United States;za jeho prácu na chirálne katalyzovaných oxidačných reakciách;for his work on chirally catalysed oxidation reactions
